"","club","value_eur","Year"
"586","Athletic Club de Bilbao",7500000,"FIFA 16"
"587","Real Sociedad",7000000,"FIFA 16"
"588","Beşiktaş JK",8500000,"FIFA 16"
"589","Montpellier HSC",0,"FIFA 16"
"590","Dinamo Moscow",7000000,"FIFA 16"
"591","Crystal Palace",6500000,"FIFA 16"
"592","VfB Stuttgart",8000000,"FIFA 16"
"593","Atlético Madrid",6000000,"FIFA 16"
"594","Shakhtar Donetsk",4900000,"FIFA 16"
"595","Zenit St. Petersburg",6000000,"FIFA 16"
"596","Aston Villa",7000000,"FIFA 16"
"597","Swansea City",7000000,"FIFA 16"
"598","Club Brugge KV",8000000,"FIFA 16"
"599","TSG 1899 Hoffenheim",6500000,"FIFA 16"
"600","Udinese",5500000,"FIFA 16"
"601","Lokomotiv Moscow",8000000,"FIFA 16"
"602","Columbus Crew SC",8000000,"FIFA 16"
"603","Milan",6500000,"FIFA 16"
"604","Sampdoria",7000000,"FIFA 16"
"605","FC Bayern München",6000000,"FIFA 16"
"606","Feyenoord",7000000,"FIFA 16"
"607","West Bromwich Albion",7000000,"FIFA 16"
"608","Newcastle United",6500000,"FIFA 16"
"609","Moreirense FC",1400000,"FIFA 16"
"610","Real Sociedad",6000000,"FIFA 16"
"611","Monterrey",5500000,"FIFA 16"
"612","Portland Timbers",8000000,"FIFA 16"
"613","FC Porto",8000000,"FIFA 16"
"614","Atalanta",8000000,"FIFA 16"
"615","Liverpool",7000000,"FIFA 16"
"616","FC Schalke 04",8000000,"FIFA 16"
"617","Getafe CF",8000000,"FIFA 16"
"618","West Ham United",7000000,"FIFA 16"
"619","Borussia Dortmund",8500000,"FIFA 16"
"620","PFC CSKA Moscow",6500000,"FIFA 16"
"621","Panathinaikos FC",8500000,"FIFA 16"
"622","Manchester United",8500000,"FIFA 16"
"623","Málaga CF",1400000,"FIFA 16"
"624","Newcastle United",8000000,"FIFA 16"
"625","FC Porto",8500000,"FIFA 16"
"626","AS Saint-Étienne",6500000,"FIFA 16"
"627","Norwich City",6500000,"FIFA 16"
"628","Trabzonspor",7000000,"FIFA 16"
"629","Tottenham Hotspur",6500000,"FIFA 16"
"630","Trabzonspor",8000000,"FIFA 16"
"631","Lokomotiv Moscow",7000000,"FIFA 16"
"632","Sevilla FC",6000000,"FIFA 16"
"633","Málaga CF",8500000,"FIFA 16"
"634","SL Benfica",9000000,"FIFA 16"
"635","Udinese",7000000,"FIFA 16"
"636","Manchester City",7000000,"FIFA 16"
"637","Stoke City",9000000,"FIFA 16"
"638","Cardiff City",7000000,"FIFA 16"
"639","Fenerbahçe SK",8500000,"FIFA 16"
"640","RC Celta",9000000,"FIFA 16"
"641","Leicester City",8500000,"FIFA 16"
"642","West Ham United",7500000,"FIFA 16"
"643","Fiorentina",8500000,"FIFA 16"
"644","Atlético Madrid",12000000,"FIFA 16"
"645","Stoke City",10000000,"FIFA 16"
"646","Beşiktaş JK",10000000,"FIFA 16"
"647","Borussia Dortmund",9000000,"FIFA 16"
"648","Valencia CF",10000000,"FIFA 16"
"649","Ajax",10500000,"FIFA 16"
"650","Bayer 04 Leverkusen",9000000,"FIFA 16"
"651","RSC Anderlecht",10000000,"FIFA 16"
"652","Juventus",9500000,"FIFA 16"
"653","Ajax",10000000,"FIFA 16"
"654","CD Nacional",8500000,"FIFA 16"
"655","SL Benfica",10000000,"FIFA 16"
"656","Swansea City",9500000,"FIFA 16"
"657","Beşiktaş JK",9500000,"FIFA 16"
"658","Roma",9500000,"FIFA 16"
"659","Real Sociedad",9500000,"FIFA 16"
"660","Napoli",8000000,"FIFA 16"
"661","VfB Stuttgart",9500000,"FIFA 16"
"662","FC Twente",9500000,"FIFA 16"
"663","Tottenham Hotspur",8000000,"FIFA 16"
"664","Feyenoord",8000000,"FIFA 16"
"665","Os Belenenses",9500000,"FIFA 16"
"666","RC Celta",8000000,"FIFA 16"
"667","Napoli",9000000,"FIFA 16"
"668","Bayer 04 Leverkusen",9500000,"FIFA 16"
"669","Getafe CF",9500000,"FIFA 16"
"670","Ajax",8000000,"FIFA 16"
"671","SC Braga",8000000,"FIFA 16"
"672","FC Girondins de Bordeaux",9500000,"FIFA 16"
"673","Tottenham Hotspur",7500000,"FIFA 16"
"674","Manchester City",8500000,"FIFA 16"
"675","Swansea City",9000000,"FIFA 16"
"676","Chievo Verona",9000000,"FIFA 16"
"677","Newcastle United",7500000,"FIFA 16"
"678","Southampton",7500000,"FIFA 16"
"679","Milan",9000000,"FIFA 16"
"680","RC Celta",7500000,"FIFA 16"
"681","PSV",9000000,"FIFA 16"
"682","VfL Wolfsburg",7500000,"FIFA 16"
"683","Eintracht Frankfurt",9500000,"FIFA 16"
"684","PSV",7500000,"FIFA 16"
"685","Queens Park Rangers",9000000,"FIFA 16"
"686","Paris Saint-Germain",7500000,"FIFA 16"
"687","Crystal Palace",9000000,"FIFA 16"
"688","Real Madrid",7500000,"FIFA 16"
"689","Napoli",7500000,"FIFA 16"
"690","SV Werder Bremen",7500000,"FIFA 16"
"691","1. FC Köln",7500000,"FIFA 16"
"692","SL Benfica",7500000,"FIFA 16"
"693","Galatasaray SK",7500000,"FIFA 16"
"694","Sampdoria",6500000,"FIFA 16"
"695","RC Celta",8500000,"FIFA 16"
"696","Deportivo de La Coruña",7000000,"FIFA 16"
"697","SL Benfica",7000000,"FIFA 16"
"698","Liverpool",8500000,"FIFA 16"
"699","Milan",8500000,"FIFA 16"
"700","TSG 1899 Hoffenheim",8500000,"FIFA 16"
"701","Feyenoord",8500000,"FIFA 16"
"702","Everton",8500000,"FIFA 16"
"703","LOSC Lille",7500000,"FIFA 16"
"704","Villarreal CF",6500000,"FIFA 16"
"705","SC Braga",7000000,"FIFA 16"
"706","FC Schalke 04",8500000,"FIFA 16"
"707","Athletic Club de Bilbao",8500000,"FIFA 16"
"708","Hannover 96",7500000,"FIFA 16"
"709","Roma",7500000,"FIFA 16"
"710","Rio Ave FC",7000000,"FIFA 16"
"711","Clube Sport Marítimo",7000000,"FIFA 16"
"712","Napoli",7000000,"FIFA 16"
"713","Montpellier HSC",8500000,"FIFA 16"
"714","Toulouse Football Club",8000000,"FIFA 16"
"715","FC Bayern München",7000000,"FIFA 16"
"716","Eintracht Frankfurt",7000000,"FIFA 16"
"717","Olympique Lyonnais",7000000,"FIFA 16"
"718","Kuban Krasnodar",6500000,"FIFA 16"
"719","Deportivo de La Coruña",8000000,"FIFA 16"
"720","VfL Wolfsburg",6500000,"FIFA 16"
"721","Sheffield Wednesday",8500000,"FIFA 16"
"722","Empoli",7000000,"FIFA 16"
"723","Palermo",6500000,"FIFA 16"
"724","VfB Stuttgart",8500000,"FIFA 16"
"725","FC Basel 1893",7500000,"FIFA 16"
"726","RSC Anderlecht",7500000,"FIFA 16"
"727","FC Schalke 04",7500000,"FIFA 16"
"728","Real Sociedad",7500000,"FIFA 16"
"729","Olympique de Marseille",6500000,"FIFA 16"
"730","FC Girondins de Bordeaux",8000000,"FIFA 16"
"731","Santos Laguna",6500000,"FIFA 16"
"732","Fiorentina",6500000,"FIFA 16"
"733","Milan",2100000,"FIFA 16"
"734","Southampton",5000000,"FIFA 16"
"735","Chievo Verona",3100000,"FIFA 16"
"736","Fulham",2100000,"FIFA 16"
"737","Hellas Verona",850000,"FIFA 16"
"738","Santiago Wanderers",2400000,"FIFA 16"
"739","Bournemouth",0,"FIFA 16"
"740","Real Betis",5000000,"FIFA 16"
"741","West Bromwich Albion",4000000,"FIFA 16"
"742","Palermo",3100000,"FIFA 16"
"743","Crystal Palace",3100000,"FIFA 16"
"744","Everton",4300000,"FIFA 16"
"745","Colo-Colo",3300000,"FIFA 16"
"746","Galatasaray SK",4000000,"FIFA 16"
"747","Newell's Old Boys",3600000,"FIFA 16"
"748","PFC CSKA Moscow",1200000,"FIFA 16"
"749","New England Revolution",3100000,"FIFA 16"
"750","Hull City",4500000,"FIFA 16"
"751","Hellas Verona",5500000,"FIFA 16"
"752","Beşiktaş JK",4000000,"FIFA 16"
"753","Bayer 04 Leverkusen",4800000,"FIFA 16"
"754","Hellas Verona",6500000,"FIFA 16"
"755","Torino",4000000,"FIFA 16"
"756","Stoke City",4800000,"FIFA 16"
"757","Rayo Vallecano",4000000,"FIFA 16"
"758","Genoa",4800000,"FIFA 16"
"759","Torino",6000000,"FIFA 16"
"760","Olympiacos CFP",3600000,"FIFA 16"
"761","Chievo Verona",4000000,"FIFA 16"
"762","Bologna",5500000,"FIFA 16"
"763","Swansea City",5000000,"FIFA 16"
"764","FC Augsburg",5000000,"FIFA 16"
"765","River Plate",5500000,"FIFA 16"
"766","River Plate",3300000,"FIFA 16"
"767","San Lorenzo de Almagro",3600000,"FIFA 16"
"768","Fenerbahçe SK",4800000,"FIFA 16"
"769","Rayo Vallecano",5000000,"FIFA 16"
"770","Granada CF",6000000,"FIFA 16"
"771","Zenit St. Petersburg",3100000,"FIFA 16"
"772","FC Augsburg",4400000,"FIFA 16"
"773","Galatasaray SK",6000000,"FIFA 16"
"774","Club América",5500000,"FIFA 16"
"775","Fiorentina",2900000,"FIFA 16"
"776","Deportivo Toluca",5000000,"FIFA 16"
"777","Lokomotiv Moscow",5000000,"FIFA 16"
"778","Hertha BSC",7000000,"FIFA 16"
"779","TSG 1899 Hoffenheim",5500000,"FIFA 16"
"780","AS Saint-Étienne",5000000,"FIFA 16"
"781","West Bromwich Albion",6000000,"FIFA 16"
"782","Hull City",5000000,"FIFA 16"
"783","Montpellier HSC",6000000,"FIFA 16"
"784","Southampton",7000000,"FIFA 16"
"785","Chelsea",5500000,"FIFA 16"
"786","FC Schalke 04",5500000,"FIFA 16"
"787","Trabzonspor",5000000,"FIFA 16"
"788","RC Celta",5000000,"FIFA 16"
"789","FC Krasnodar",7000000,"FIFA 16"
"790","Al Ahli",6000000,"FIFA 16"
"791","Sunderland",5500000,"FIFA 16"
"792","Real Sociedad",5000000,"FIFA 16"
"793","Sevilla FC",5000000,"FIFA 16"
"794","Milan",5500000,"FIFA 16"
"795","Real Sociedad",6500000,"FIFA 16"
"796","SC Braga",5500000,"FIFA 16"
"797","1. FSV Mainz 05",5500000,"FIFA 16"
"798","Montreal Impact",6500000,"FIFA 16"
"799","Napoli",5000000,"FIFA 16"
"800","Lazio",6500000,"FIFA 16"
"801","VfB Stuttgart",7000000,"FIFA 16"
"802","Olympique Lyonnais",4500000,"FIFA 16"
"803","Watford",6000000,"FIFA 16"
"804","Milan",7000000,"FIFA 16"
"805","Watford",4400000,"FIFA 16"
"806","Aston Villa",5000000,"FIFA 16"
"807","FC Augsburg",7000000,"FIFA 16"
"808","Boavista FC",5000000,"FIFA 16"
"809","Stoke City",5000000,"FIFA 16"
"810","Napoli",5500000,"FIFA 16"
"811","FC Rostov",5000000,"FIFA 16"
"812","Sivasspor",7000000,"FIFA 16"
"813","Genoa",6000000,"FIFA 16"
"814","Beşiktaş JK",6500000,"FIFA 16"
"815","Club Brugge KV",7000000,"FIFA 16"
"816","Getafe CF",6000000,"FIFA 16"
"817","Seattle Sounders FC",5000000,"FIFA 16"
"818","RCD Espanyol",5500000,"FIFA 16"
"819","Watford",5500000,"FIFA 16"
"820","Vitesse",5500000,"FIFA 16"
"821","Jeonbuk Hyundai Motors",6500000,"FIFA 16"
"822","FC Girondins de Bordeaux",5500000,"FIFA 16"
"823","RC Celta",6500000,"FIFA 16"
"824","Feyenoord",5500000,"FIFA 16"
"825","Inter",7000000,"FIFA 16"
"826","Lazio",5000000,"FIFA 16"
"827","Sporting CP",4400000,"FIFA 16"
"828","Boca Juniors",6500000,"FIFA 16"
"829","Levante UD",7000000,"FIFA 16"
"830","Real Sporting de Gijón",11000000,"FIFA 16"
"831","FC Basel 1893",8000000,"FIFA 16"
"832","Lazio",8500000,"FIFA 16"
"833","Villarreal CF",7000000,"FIFA 16"
"834","West Bromwich Albion",8500000,"FIFA 16"
"835","Roma",7000000,"FIFA 16"
"836","Real Sociedad",8000000,"FIFA 16"
"837","Sporting CP",7000000,"FIFA 16"
"838","Olympique de Marseille",7000000,"FIFA 16"
"839","FC Lorient",7500000,"FIFA 16"
"840","Liverpool",7500000,"FIFA 16"
"841","Ajax",7500000,"FIFA 16"
"842","Getafe CF",7500000,"FIFA 16"
"843","Atlético Madrid",6500000,"FIFA 16"
"844","AS Monaco",7500000,"FIFA 16"
"845","Valencia CF",6500000,"FIFA 16"
"846","Sporting CP",7500000,"FIFA 16"
"847","Trabzonspor",7500000,"FIFA 16"
"848","Sunderland",7000000,"FIFA 16"
"849","Tottenham Hotspur",6000000,"FIFA 16"
"850","Chievo Verona",7000000,"FIFA 16"
"851","PSV",7000000,"FIFA 16"
"852","Fenerbahçe SK",7000000,"FIFA 16"
"853","Villarreal CF",7500000,"FIFA 16"
"854","PFC CSKA Moscow",7500000,"FIFA 16"
"855","Sampdoria",6000000,"FIFA 16"
"856","Newcastle United",7000000,"FIFA 16"
"857","Borussia Dortmund",6000000,"FIFA 16"
"858","RC Celta",6000000,"FIFA 16"
"859","Udinese",7500000,"FIFA 16"
"860","Leicester City",7000000,"FIFA 16"
"861","Fenerbahçe SK",6000000,"FIFA 16"
"862","Bursaspor",6500000,"FIFA 16"
"863","Queens Park Rangers",6500000,"FIFA 16"
"864","Vitória Guimarães",6000000,"FIFA 16"
"865","Toulouse Football Club",7000000,"FIFA 16"
"866","Bursaspor",7000000,"FIFA 16"
"867","FC Midtjylland",6000000,"FIFA 16"
"868","Málaga CF",7000000,"FIFA 16"
"869","Feyenoord",6000000,"FIFA 16"
"870","Spartak Moscow",7000000,"FIFA 16"
"871","PSV",6000000,"FIFA 16"
"872","Bournemouth",7000000,"FIFA 16"
"873","Real Madrid",7000000,"FIFA 16"
"874","Borussia Dortmund",7000000,"FIFA 16"
"875","Beşiktaş JK",6000000,"FIFA 16"
"876","Inter",6000000,"FIFA 16"
"877","Borussia Mönchengladbach",5500000,"FIFA 16"
"878","Real Sporting de Gijón",5500000,"FIFA 16"
"879","Hamburger SV",7000000,"FIFA 16"
"880","Montpellier HSC",6500000,"FIFA 16"
"881","Granada CF",5500000,"FIFA 16"
"882","Valencia CF",5500000,"FIFA 16"
"883","Ajax",7000000,"FIFA 16"
"884","Crystal Palace",5500000,"FIFA 16"
"885","Vitória Guimarães",7000000,"FIFA 16"
"886","UD Las Palmas",7000000,"FIFA 16"
"887","1. FSV Mainz 05",6000000,"FIFA 16"
"888","Spartak Moscow",6000000,"FIFA 16"
"889","VfL Wolfsburg",6000000,"FIFA 16"
"890","Olympique de Marseille",6000000,"FIFA 16"
"891","Getafe CF",6500000,"FIFA 16"
"892","Real Sporting de Gijón",7000000,"FIFA 16"
"893","Aston Villa",6500000,"FIFA 16"
"894","Beşiktaş JK",5500000,"FIFA 16"
"895","PAOK",5500000,"FIFA 16"
"896","Lokomotiv Moscow",6500000,"FIFA 16"
"897","Racing Club",6500000,"FIFA 16"
"898","Inter",5500000,"FIFA 16"
"899","LA Galaxy",5500000,"FIFA 16"
"900","Athletic Club de Bilbao",5500000,"FIFA 16"
"901","VfB Stuttgart",6500000,"FIFA 16"
"902","Newcastle United",5500000,"FIFA 16"
"903","SL Benfica",5500000,"FIFA 16"
"904","UD Las Palmas",6500000,"FIFA 16"
"905","SV Werder Bremen",7000000,"FIFA 16"
"906","Olympique de Marseille",5500000,"FIFA 16"
"907","SV Werder Bremen",5500000,"FIFA 16"
"908","Sporting CP",6500000,"FIFA 16"
"909","OGC Nice",6500000,"FIFA 16"
"910","Empoli",5500000,"FIFA 16"
"911","San Lorenzo de Almagro",5500000,"FIFA 16"
"912","West Ham United",6500000,"FIFA 16"
"913","Deportivo de La Coruña",5000000,"FIFA 16"
"914","Hertha BSC",5000000,"FIFA 16"
"915","FC Krasnodar",5000000,"FIFA 16"
"916","Crystal Palace",5000000,"FIFA 16"
"917","FC Krasnodar",6000000,"FIFA 16"
"918","Orlando Pirates",6000000,"FIFA 16"
"919","Hannover 96",5000000,"FIFA 16"
"920","Getafe CF",4900000,"FIFA 16"
"921","Zenit St. Petersburg",5000000,"FIFA 16"
"922","Olympiacos CFP",5000000,"FIFA 16"
"923","Hannover 96",6000000,"FIFA 16"
"924","Lokomotiv Moscow",4600000,"FIFA 16"
"925","Spartak Moscow",4700000,"FIFA 16"
"926","Borussia Mönchengladbach",6000000,"FIFA 16"
"927","RSC Anderlecht",6500000,"FIFA 16"
"928","Deportivo de La Coruña",6000000,"FIFA 16"
"929","FC Krasnodar",4900000,"FIFA 16"
"930","Hertha BSC",4900000,"FIFA 16"
"931","Lokomotiv Moscow",4700000,"FIFA 16"
"932","Swansea City",4900000,"FIFA 16"
"933","Eintracht Frankfurt",4900000,"FIFA 16"
"934","SL Benfica",4800000,"FIFA 16"
"935","1. FSV Mainz 05",4900000,"FIFA 16"
"936","FC Schalke 04",4800000,"FIFA 16"
"937","Monarcas Morelia",4900000,"FIFA 16"
"938","Atalanta",5000000,"FIFA 16"
"939","Club León",4900000,"FIFA 16"
"940","River Plate",3400000,"FIFA 16"
"941","SL Benfica",3300000,"FIFA 16"
"942","Trabzonspor",3000000,"FIFA 16"
"943","Stade Malherbe Caen",3100000,"FIFA 16"
"944","FC Rostov",900000,"FIFA 16"
"945","Real Salt Lake",2300000,"FIFA 16"
"946","PAOK",1600000,"FIFA 16"
"947","Stade Rennais FC",1600000,"FIFA 16"
"948","Málaga CF",3000000,"FIFA 16"
"949","Stoke City",2800000,"FIFA 16"
"950","LOSC Lille",1800000,"FIFA 16"
"951","Real Betis",3400000,"FIFA 16"
"952","Philadelphia Union",4900000,"FIFA 16"
"953","Deportivo de La Coruña",2200000,"FIFA 16"
"954","Celtic",4000000,"FIFA 16"
"955","Swansea City",4700000,"FIFA 16"
"956","Queens Park Rangers",3100000,"FIFA 16"
"957","Chievo Verona",4300000,"FIFA 16"
"958","Bournemouth",3100000,"FIFA 16"
"959","FC Augsburg",4100000,"FIFA 16"
"960","FC Bayern München",3400000,"FIFA 16"
"961","Zenit St. Petersburg",4200000,"FIFA 16"
"962","Everton",4600000,"FIFA 16"
"963","Beşiktaş JK",4100000,"FIFA 16"
"964","Hannover 96",3100000,"FIFA 16"
"965","En Avant de Guingamp",5000000,"FIFA 16"
"966","Sivasspor",800000,"FIFA 16"
"967","Getafe CF",4000000,"FIFA 16"
"968","RCD Espanyol",3400000,"FIFA 16"
"969","Stade de Reims",2300000,"FIFA 16"
"970","AS Nancy Lorraine",3700000,"FIFA 16"
"971","Borussia Mönchengladbach",2300000,"FIFA 16"
"972","Deportivo de La Coruña",3800000,"FIFA 16"
"973","Genoa",1600000,"FIFA 16"
"974","Olympique Lyonnais",3400000,"FIFA 16"
"975","Boca Juniors",900000,"FIFA 16"
"976","Levante UD",4100000,"FIFA 16"
"977","Boca Juniors",3400000,"FIFA 16"
"978","Racing Club",2300000,"FIFA 16"
"979","Independiente",2200000,"FIFA 16"
"980","Rubin Kazan",1800000,"FIFA 16"
"981","Cruz Azul",4300000,"FIFA 16"
"982","Rayo Vallecano",1500000,"FIFA 16"
"983","Borussia Mönchengladbach",3900000,"FIFA 16"
"984","FC Krasnodar",1600000,"FIFA 16"
"985","Real Sporting de Gijón",4100000,"FIFA 16"
"986","Rubin Kazan",3400000,"FIFA 16"
"987","Hamburger SV",2100000,"FIFA 16"
"988","Fenerbahçe SK",4000000,"FIFA 16"
"989","Lokomotiv Moscow",3300000,"FIFA 16"
"990","Napoli",2200000,"FIFA 16"
"991","Norwich City",3400000,"FIFA 16"
"992","Hellas Verona",2300000,"FIFA 16"
"993","Olympique Lyonnais",3300000,"FIFA 16"
"994","Southampton",4700000,"FIFA 16"
"995","Tigres U.A.N.L.",5000000,"FIFA 16"
"996","West Ham United",5000000,"FIFA 16"
"997","Sampdoria",4700000,"FIFA 16"
"998","LOSC Lille",3400000,"FIFA 16"
"999","West Ham United",5500000,"FIFA 16"
"1000","Swansea City",3000000,"FIFA 16"
"1001","Everton",4900000,"FIFA 16"
"1002","Real Sociedad",4000000,"FIFA 16"
"1003","Cruz Azul",3400000,"FIFA 16"
"1004","Arsenal",3400000,"FIFA 16"
"1005","Club Tijuana",1800000,"FIFA 16"
"1006","AS Saint-Étienne",3300000,"FIFA 16"
"1007","Montreal Impact",4000000,"FIFA 16"
"1008","Rayo Vallecano",3100000,"FIFA 16"
"1009","Stoke City",4900000,"FIFA 16"
"1010","Stade Rennais FC",4100000,"FIFA 16"
"1011","River Plate",4500000,"FIFA 16"
"1012","Newcastle United",4000000,"FIFA 16"
"1013","Eintracht Frankfurt",4100000,"FIFA 16"
"1014","Real Sociedad",5500000,"FIFA 16"
"1015","Watford",3800000,"FIFA 16"
"1016","Levante UD",5000000,"FIFA 16"
"1017","Al Nassr",5000000,"FIFA 16"
"1018","Torino",4500000,"FIFA 16"
"1019","Feyenoord",4700000,"FIFA 16"
"1020","Hamburger SV",4100000,"FIFA 16"
"1021","Málaga CF",3100000,"FIFA 16"
"1022","Everton",5000000,"FIFA 16"
"1023","Leicester City",4600000,"FIFA 16"
"1024","RC Celta",4600000,"FIFA 16"
"1025","Queens Park Rangers",4100000,"FIFA 16"
"1026","Real Betis",4100000,"FIFA 16"
"1027","Boca Juniors",4900000,"FIFA 16"
"1028","Kasimpaşa SK",5000000,"FIFA 16"
"1029","Real Betis",4300000,"FIFA 16"
"1030","Valencia CF",4000000,"FIFA 16"
"1031","Getafe CF",4300000,"FIFA 16"
"1032","Independiente",4900000,"FIFA 16"
"1033","Liverpool",3900000,"FIFA 16"
"1034","Carpi",3100000,"FIFA 16"
"1035","Crystal Palace",4300000,"FIFA 16"
"1036","River Plate",4000000,"FIFA 16"
"1037","Feyenoord",5000000,"FIFA 16"
"1038","Ajax",5000000,"FIFA 16"
"1039","Southampton",4300000,"FIFA 16"
"1040","Chievo Verona",5000000,"FIFA 16"
"1041","Sheffield Wednesday",5000000,"FIFA 16"
"1042","Manchester United",4600000,"FIFA 16"
"1043","Leicester City",5000000,"FIFA 16"
"1044","Columbus Crew SC",5000000,"FIFA 16"
"1045","VfB Stuttgart",4600000,"FIFA 16"
"1046","Hannover 96",5500000,"FIFA 16"
"1047","Tigres U.A.N.L.",4500000,"FIFA 16"
"1048","Villarreal CF",3900000,"FIFA 16"
"1049","Shakhtar Donetsk",4200000,"FIFA 16"
"1050","Watford",4100000,"FIFA 16"
"1051","Frosinone",4100000,"FIFA 16"
"1052","Al Shabab",4300000,"FIFA 16"
"1053","Panathinaikos FC",4000000,"FIFA 16"
"1054","FC Basel 1893",4300000,"FIFA 16"
"1055","Shakhtar Donetsk",3900000,"FIFA 16"
"1056","Roma",3700000,"FIFA 16"
"1057","Crystal Palace",3800000,"FIFA 16"
"1058","Villarreal CF",3300000,"FIFA 16"
"1059","Genoa",4100000,"FIFA 16"
"1060","Monterrey",3800000,"FIFA 16"
"1061","CD Nacional",4500000,"FIFA 16"
"1062","Brentford",4500000,"FIFA 16"
"1063","Kaizer Chiefs",4700000,"FIFA 16"
"1064","Norwich City",4200000,"FIFA 16"
"1065","Real Salt Lake",2000000,"FIFA 16"
"1066","Real Sporting de Gijón",4000000,"FIFA 16"
"1067","Dinamo Moscow",4000000,"FIFA 16"
"1068","SV Werder Bremen",4000000,"FIFA 16"
"1069","Rayo Vallecano",4200000,"FIFA 16"
"1070","VfL Wolfsburg",4200000,"FIFA 16"
"1071","Vitória Guimarães",4000000,"FIFA 16"
"1072","Granada CF",4000000,"FIFA 16"
"1073","SD Eibar",4900000,"FIFA 16"
"1074","RCD Espanyol",4300000,"FIFA 16"
"1075","Hertha BSC",4000000,"FIFA 16"
"1076","San Lorenzo de Almagro",900000,"FIFA 16"
"1077","Al Hilal",4600000,"FIFA 16"
"1078","Sunderland",4600000,"FIFA 16"
"1079","Bologna",4700000,"FIFA 16"
"1080","Hellas Verona",5000000,"FIFA 16"
"1081","RCD Espanyol",3900000,"FIFA 16"
"1082","Club Tijuana",5000000,"FIFA 16"
"1083","River Plate",4700000,"FIFA 16"
"1084","Al Nassr",5500000,"FIFA 16"
"1085","Ajax",6500000,"FIFA 16"
"1086","RCD Espanyol",6500000,"FIFA 16"
"1087","Bayer 04 Leverkusen",5500000,"FIFA 16"
"1088","Olympiacos CFP",5500000,"FIFA 16"
"1089","Clube Sport Marítimo",5500000,"FIFA 16"
"1090","Olympiacos CFP",6000000,"FIFA 16"
"1091","FC Porto",6000000,"FIFA 16"
"1092","Stoke City",6000000,"FIFA 16"
"1093","FC Red Bull Salzburg",5500000,"FIFA 16"
"1094","FC Utrecht",6000000,"FIFA 16"
"1095","RSC Anderlecht",6000000,"FIFA 16"
"1096","Liverpool",5500000,"FIFA 16"
"1097","Udinese",6000000,"FIFA 16"
"1098","Ajax",4500000,"FIFA 16"
"1099","Levante UD",6000000,"FIFA 16"
"1100","FC Paços de Ferreira",5000000,"FIFA 16"
"1101","Fiorentina",6000000,"FIFA 16"
"1102","Real Sporting de Gijón",5000000,"FIFA 16"
"1103","Trabzonspor",4900000,"FIFA 16"
"1104","Sassuolo",6000000,"FIFA 16"
"1105","OGC Nice",6000000,"FIFA 16"
"1106","Kayserispor",6000000,"FIFA 16"
"1107","Jeonnam Dragons",6000000,"FIFA 16"
"1108","Real Betis",4700000,"FIFA 16"
"1109","Tottenham Hotspur",5500000,"FIFA 16"
"1110","Swansea City",4800000,"FIFA 16"
"1111","AS Saint-Étienne",4800000,"FIFA 16"
"1112","Sassuolo",5500000,"FIFA 16"
"1113","FC Dallas",5500000,"FIFA 16"
"1114","Reading",5500000,"FIFA 16"
"1115","1. FC Köln",5500000,"FIFA 16"
"1116","Sassuolo",4800000,"FIFA 16"
"1117","RCD Espanyol",6000000,"FIFA 16"
"1118","Granada CF",4800000,"FIFA 16"
"1119","SC Heerenveen",5500000,"FIFA 16"
"1120","Al Hilal",4800000,"FIFA 16"
"1121","Shakhtar Donetsk",4800000,"FIFA 16"
"1122","China PR",0,"FIFA 16"
"1123","Bursaspor",4700000,"FIFA 16"
"1124","Crystal Palace",4500000,"FIFA 16"
"1125","Genoa",4700000,"FIFA 16"
"1126","FC Augsburg",4600000,"FIFA 16"
"1127","Granada CF",4500000,"FIFA 16"
"1128","Napoli",4500000,"FIFA 16"
"1129","FC Basel 1893",4500000,"FIFA 16"
"1130","Al Ahli",5500000,"FIFA 16"
"1131","Eintracht Frankfurt",5500000,"FIFA 16"
